name,color,sex,country,grumpy,fearful_of_people,playful,friendly_to_people,clumsy,greedy,owner_phone,birthday
Coca,black,Female,Canada,1,5,6,5,5,2,651-4361762,04/18/2013
Aldous,butterscotch,Female,France,2,3,7,7,1,5,651-3559318,08/24/2018
Octavia,grey and brown,Male,China,4,6,5,2,2,2,651-5831184,06/08/2006
Blossom,peaches and cream,Male,Peru,2,4,7,5,5,6,651-5631140,11/25/2015
Brianna,white,Female,New Zealand,1,1,7,7,1,2,651-5613596,02/18/2007
Maya,butterscotch,Female,UK,1,2,7,7,1,1,651-8753629,01/09/2019
Merlin,brown,Female,Spain,2,1,6,7,2,6,651-8705230,01/06/2015
Dracula,striped,Male,Spain,2,5,7,4,1,1,651-5554719,12/29/2015
Boneprone,orange,Male,China,1,4,7,5,1,1,651-1993201,10/27/2004
Clint,brown,Male,Peru,1,5,6,7,5,1,651-4875692,09/23/2002
Quixote,orange,Male,France,5,1,7,7,1,7,651-6750189,01/16/2016
Jada,orange,Male,Canada,1,1,7,7,1,1,651-5690866,04/18/2011
Meeko,black,Female,France,4,5,7,5,1,1,651-6551481,08/28/2017
Chatterbox,butterscotch,Male,Thailand,5,1,5,7,2,7,651-1598608,05/06/2010
Bookie,brown,Female,UK,2,3,5,6,4,5,651-8043427,12/23/2015
Avalon,tabby,Female,USA,1,1,5,7,4,1,651-5088847,07/28/2009
Ophelia,grey and brown,Male,Spain,1,1,2,7,5,4,651-6597279,10/13/2006
Zane,grey and brown,Female,UK,4,1,4,7,1,6,651-5475113,05/26/2019
Kennedy,tabby,Female,France,1,3,5,5,2,3,651-4412485,01/28/2011
Dickens,butterscotch,Female,New Zealand,7,3,3,7,1,6,651-4158135,11/13/2001
Treacle,butterscotch,Male,UK,1,1,7,7,4,5,651-7500841,07/09/2017
Sniff,peaches and cream,Female,Peru,1,6,5,5,1,4,651-6482427,08/05/2010
Deanie Dumpling,black,Male,Peru,2,4,6,5,5,4,651-4148071,11/19/2009
Anika,orange,Female,New Zealand,5,4,5,5,2,6,651-7865594,04/11/2014
Halley Purry,brown,Male,USA,4,1,6,7,4,5,651-8674931,10/02/2010
Houdini,grey and brown,Female,New Zealand,2,1,3,7,3,2,651-3729502,05/08/2003
Benny,grey,Male,USA,1,1,7,7,1,3,651-9010051,06/23/2016
Kosta Lot,black,Female,China,1,3,5,5,5,5,651-8613933,07/29/2018
Ptolemy,orange,Male,Australia,1,2,7,7,5,1,651-7565150,04/15/2007
Dumas,black,Female,New Zealand,1,7,1,1,4,1,651-5547271,10/19/2002
Columbia,black,Female,Peru,2,5,5,4,4,2,651-2143880,01/25/2015
Alabama,grey,Male,USA,2,2,6,6,1,6,651-4619621,01/28/2007
Buffy,peaches and cream,Male,China,1,1,6,6,2,3,651-6404088,03/28/2010
Hobbles,tabby,Female,Germany,5,6,2,5,1,3,651-2247988,07/19/2015
Cameow,striped,Male,Germany,5,7,5,3,7,6,651-3397638,11/19/2013
Coconut,grey and brown,Female,Thailand,7,7,5,1,2,1,651-3629717,06/18/2016
Amelia,grey and brown,Female,Germany,6,5,6,2,2,7,651-5014839,07/29/2019
Minogue,grey,Male,France,2,1,7,7,2,2,651-8050041,04/02/2005
Morrison,brown,Female,Canada,3,4,5,5,1,3,651-4575685,03/15/2013
Strudel,striped,Female,Australia,1,4,6,6,2,2,651-6788807,04/20/2016
Horatio,grey,Male,Germany,1,3,7,5,5,7,651-5423137,09/23/2013
Alvin,grey and brown,Female,New Zealand,1,6,5,5,1,1,651-7280109,07/10/2010
Friday,grey and black,Male,Germany,2,1,5,5,3,2,651-4172983,10/18/2015
Miffy,tabby,Male,USA,1,7,5,4,1,1,651-2109766,03/28/2012
Sparkle,grey and brown,Female,Peru,7,5,3,6,3,7,651-9002648,04/18/2013
Rainer,brown,Male,France,1,2,6,4,1,2,651-2828688,08/10/2014
Ming,striped,Male,Spain,2,5,4,3,3,2,651-6377192,10/07/2010
Virgil,peaches and cream,Male,Spain,5,6,7,6,3,7,651-1780821,06/20/2016
Snickers,orange,Female,Australia,2,6,3,3,1,7,651-8176149,10/05/2004
Cindy Clawford,butterscotch,Male,Australia,2,6,3,2,1,2,651-2070277,07/21/2019
Purrfect,orange,Female,France,5,6,6,3,2,7,651-1965637,07/01/2016
Tatters,white,Male,UK,6,2,5,7,1,2,651-6326935,07/23/2013
Septimus,grey and brown,Female,Canada,2,4,7,5,1,2,651-1578392,06/30/2014
Genghis,striped,Female,Australia,1,4,7,6,7,2,651-8613989,07/07/2018
Socrates,salt and pepper,Male,UK,2,1,7,7,3,5,651-8614404,05/08/2017
Kashmir,peaches and cream,Female,New Zealand,3,4,7,7,7,5,651-8810964,07/28/2016
Clawsome,orange,Female,Thailand,6,3,7,6,2,1,651-7967133,07/10/2004
Spice,grey and brown,Female,USA,1,1,7,7,1,1,651-5475383,06/19/2019
Odette,butterscotch,Female,Peru,1,4,5,4,2,7,651-8053298,07/30/2018
Flo,butterscotch,Female,Peru,1,3,3,5,6,1,651-4681428,07/26/2011
Banjo,brown,Female,Peru,1,1,4,7,2,3,651-7758088,03/16/2006
Jesse,white,Female,USA,2,1,6,7,1,1,651-6749581,10/31/2009
Little Kitty,black,Female,Germany,1,1,3,7,1,6,651-3141686,12/15/2000
Moo,peaches and cream,Male,China,3,7,7,7,1,2,651-1727584,10/18/2008
Chad,grey,Unsure,Thailand,1,1,7,7,1,2,651-6253800,05/05/2010
Frenzy,striped,Male,Thailand,5,2,6,5,6,5,651-6017935,08/19/2015
Chrissy,salt and pepper,Female,Spain,7,6,6,6,2,6,651-4253457,12/09/2010
Neve,white,Male,China,1,1,7,4,1,6,651-5545969,12/16/2008
Harvey,butterscotch,Female,Canada,5,3,7,7,5,6,651-2627602,06/12/2018
Cancun,tabby,Female,France,1,5,6,3,1,2,651-6766862,02/22/2010
Kitkat,brown,Female,China,1,2,6,7,1,4,651-8371936,11/20/2014
Avalon,tabby,Female,Germany,5,2,5,5,2,6,651-4090935,04/10/2003
Mr. Pickles,grey and black,Female,Germany,2,5,1,2,1,1,651-5525665,11/21/2000
Snuffy,grey and brown,Male,Australia,5,3,5,5,7,5,651-4253359,04/23/2016
Buggers,orange,Female,Australia,1,1,7,7,1,6,651-4807251,04/22/2008
Suki,grey and brown,Female,Thailand,5,3,6,5,4,7,651-3843430,02/12/2005
Anderson Pooper,white,Female,China,7,4,7,5,2,2,651-5201964,11/28/2011
Malcolm,brown,Female,New Zealand,6,2,6,5,1,1,651-1608326,06/12/2002
Egbert,orange,Male,Germany,4,6,5,5,5,6,651-6676463,11/11/2018
Vaughan,striped,Male,New Zealand,3,5,5,3,2,6,651-6941489,08/10/2018
Crouton,black,"",UK,3,3,7,1,3,4,651-3677323,01/20/2008
Harper,butterscotch,Male,UK,7,5,1,3,2,5,651-3357746,04/10/2014
Eminem,peaches and cream,Female,Spain,1,6,3,5,2,5,651-3114611,04/25/2001
Miranda,grey and brown,Male,Thailand,2,4,5,4,1,2,651-3531638,05/10/2017
Vanessa,grey and brown,Male,Canada,2,2,5,4,1,2,651-2674064,09/11/2013
Boromir,butterscotch,Female,New Zealand,1,2,4,7,5,2,651-1712165,05/02/2007
Astrophe,tabby,Female,Australia,2,6,6,1,1,1,651-8443392,09/29/2003
Phoenix,black,Male,Australia,4,1,6,7,2,7,651-2446813,12/03/2012
Isolda,grey and brown,Male,Spain,3,3,5,3,5,3,651-6904113,11/24/2014
Puss,tabby,Male,New Zealand,2,4,6,4,2,3,651-8641801,04/09/2016
Brendan,grey and brown,Female,Germany,4,6,4,5,2,1,651-5037055,03/16/2020
Death Breath,brown,Male,Peru,2,1,7,6,1,2,651-3527989,09/07/2012
Damon,salt and pepper,Male,China,2,5,3,4,2,3,651-8502169,05/06/2006
Cher,butterscotch,Male,New Zealand,2,1,7,7,6,3,651-3133952,08/09/2015
Cactus,striped,Female,USA,1,1,6,4,2,1,651-4700242,04/27/2016
Legs,grey and brown,Male,France,1,1,1,7,1,2,651-5536002,03/24/2015
Alvina,white,Female,Spain,1,4,6,6,5,3,651-3709269,06/28/2004
Pet-a-porter,peaches and cream,Female,Australia,6,6,6,2,1,3,651-4317765,02/19/2018
Spike,orange,Male,France,1,1,2,7,7,7,651-3869428,04/02/2003
Clicquot,brown,Male,UK,1,6,1,6,2,1,651-4784138,05/03/2008
Jerry,grey and black,Female,New Zealand,5,2,5,5,1,4,651-7510845,08/12/2003
Chenille,brown,Male,Thailand,1,1,4,7,1,5,651-1519680,11/27/2017
Sparkle,striped,Male,USA,6,1,6,6,1,6,651-8919114,02/06/2008
Nancy,orange,Female,China,6,1,6,7,1,2,651-3199613,11/16/2013
Colombo,orange,Female,Thailand,5,3,6,7,2,6,651-7700763,02/01/2017
Eden,brown,Male,Thailand,5,3,6,6,2,2,651-5526150,03/28/2012
Actaeon,white,Female,UK,2,7,6,5,1,5,651-5267116,01/29/2013
Gatsby,peaches and cream,Male,Spain,5,7,1,2,3,6,651-5148617,03/23/2007
Genevieve,orange,Male,Thailand,4,2,5,6,2,3,651-6601124,06/16/2017
Lolly,brown,Female,UK,7,7,2,6,1,7,651-4911324,04/14/2010
Gidget,butterscotch,Male,Spain,7,1,5,1,1,7,651-8497435,06/01/2013
Kerry,grey and brown,Female,Spain,6,1,2,4,2,4,651-2177793,08/08/2009
Gordita,black,Male,China,1,7,7,6,1,6,651-4261832,09/05/2014
Poser,salt and pepper,Female,Australia,2,2,3,6,1,3,651-1605308,10/23/2008
Edur,butterscotch,Female,France,6,7,2,1,5,6,651-5435012,05/23/2009
Marbles,white,Female,UK,1,6,6,2,1,1,651-8695291,05/16/2017
Edison,striped,Female,China,1,1,7,6,1,7,651-8720257,11/23/2014
Handsome,striped,Female,China,3,6,6,1,2,2,651-8368338,02/19/2017
Boromir,butterscotch,Male,New Zealand,4,2,6,5,5,7,651-5031935,03/13/2010
Monkey,striped,Male,Thailand,1,1,5,7,1,3,651-8051945,04/26/2006
Berkeley,striped,Female,Peru,1,5,6,6,1,5,651-2679332,09/18/2011
Napster,white,Female,UK,1,1,5,7,1,5,651-3951857,08/04/1999
Clapton,grey and black,Female,Germany,4,5,5,5,1,5,651-2111598,08/11/2019
Lickers,orange,Male,Spain,3,1,5,7,4,5,651-4947750,12/10/2002
Raffles,white,Female,France,2,5,7,5,1,6,651-6842816,08/02/2014
Toya,peaches and cream,Male,Germany,2,2,3,6,4,1,651-8751624,05/17/1999
Gertrude,butterscotch,Female,Peru,5,4,2,4,1,2,651-8178196,04/21/2010
Zippo,grey and black,Female,China,1,5,5,6,4,6,651-2457278,02/23/2017
Spot,salt and pepper,Female,UK,1,1,1,7,1,1,651-8865223,09/20/2018
Zabar,butterscotch,Male,Spain,1,1,6,7,1,4,651-8985392,06/13/2009
Mrs. Norris,orange,Male,USA,1,1,6,7,1,6,651-5937774,06/29/2012
Esmeralda,butterscotch,Female,USA,3,5,5,6,5,4,651-6809099,08/30/2015
Macduff,butterscotch,Male,New Zealand,1,5,5,3,1,1,651-5905246,04/05/2017
Perceval,salt and pepper,Male,USA,6,6,5,3,4,4,651-2360897,06/12/2014
Zowie,peaches and cream,Male,Thailand,1,2,5,4,6,6,651-6307189,08/04/2012
Kirsten,salt and pepper,Female,France,2,2,5,6,5,4,651-7073764,02/02/2007
Anest,butterscotch,Female,Thailand,2,2,5,6,1,6,651-6054334,09/03/2009
Mandy,striped,Male,Spain,2,4,5,6,3,3,651-8786225,11/06/2008
Beastie,tabby,Female,Peru,1,3,6,6,1,3,651-4351045,05/31/2018
Thunderpants,peaches and cream,Male,Spain,6,6,5,5,2,2,651-8751667,10/08/2009
Sassy,striped,Female,New Zealand,2,2,5,7,2,1,651-2291317,02/27/2012
Cyber,orange,Female,New Zealand,3,5,6,5,1,2,651-5751264,02/09/2012
Tate,brown,Male,UK,2,1,5,7,1,6,651-6402859,05/06/2007
Pluto,brown,Male,Peru,6,1,6,5,5,7,651-7216257,04/14/2008
Chelsea,orange,Female,France,1,7,5,1,3,2,651-2211874,10/13/2002
Basil,tabby,Male,Canada,1,1,6,7,2,6,651-4083512,09/16/2009
Dough Boy,white,Male,USA,1,1,6,7,3,3,651-6008747,10/12/2006
Aloysia,grey and black,Female,Thailand,1,5,6,6,3,2,651-4590421,10/21/2005
Eileen,grey and black,Female,Peru,2,2,7,7,2,4,651-3013626,01/04/2020
Dogone,butterscotch,Male,Canada,4,2,4,3,2,4,651-5133006,09/27/1999
Razzle,tabby,Female,Australia,2,4,7,5,2,2,651-5320192,04/13/2013
Bootstrap Bill,white,Male,Canada,3,2,7,6,2,4,651-7203333,11/23/2005
Trust,grey,Female,Canada,4,2,7,5,1,4,651-3859948,09/23/2009
Custard,grey,Female,France,2,5,6,2,3,2,651-7279703,11/07/2010
Ella,black,Male,Peru,5,2,4,5,2,5,651-7746870,10/19/2013
Ayn,grey and brown,Female,China,6,6,5,2,6,2,651-2589814,01/26/2001
Peace,grey and black,Male,Spain,5,4,4,5,5,2,651-8179556,08/05/2013
Penny,brown,Female,Australia,4,5,2,5,2,2,651-4065395,09/27/2011
Eugene,white,Male,UK,2,4,6,5,6,2,651-6518714,01/18/2010
Cheesecake,striped,Female,Germany,1,2,2,6,2,1,651-5584595,02/07/2019
Gator,tabby,Female,Thailand,5,2,6,7,1,2,651-3272804,08/21/2007
Absolut,white,Male,Germany,3,1,2,7,4,6,651-6242973,01/22/2018
Abaster,salt and pepper,Male,Canada,1,1,6,7,1,5,651-4401005,08/13/2013
Constance,white,Female,Thailand,1,5,1,5,2,1,651-8081527,12/19/2017
Jelly,butterscotch,Male,Australia,1,2,1,5,7,2,651-3048868,10/25/2016
Sophie,peaches and cream,Female,Peru,5,2,5,5,1,5,651-7569163,07/24/2015
Jacques Pierre,striped,Male,New Zealand,2,3,6,6,4,3,651-2697388,03/14/2013
Margaret,peaches and cream,Male,Australia,1,2,4,5,3,3,651-1871508,04/12/2017
Whispurr,salt and pepper,Female,UK,2,2,4,5,2,4,651-3406887,12/14/2017
Shakespeare,orange,Male,New Zealand,5,5,3,5,1,3,651-8870808,04/11/2003
Peggy,grey and brown,Female,Peru,3,2,5,7,1,2,651-4379747,10/12/2018
Dwezil,peaches and cream,Male,Canada,4,2,5,6,1,2,651-3235156,12/07/2017
Achal,grey and black,Female,France,7,5,3,1,1,3,651-3913302,02/10/2001
Celina,striped,Female,Canada,3,6,6,3,1,7,651-3274283,05/26/2010
Peregrin,brown,Male,Thailand,2,5,7,5,5,6,651-4452410,06/27/2017
Winslow,salt and pepper,Male,Thailand,7,3,2,6,1,7,651-2660800,06/23/1999
Spaghetti,black,Male,Thailand,3,5,6,1,1,5,651-7622728,05/04/2007
Irene,orange,Female,Australia,2,6,6,3,5,3,651-7472611,11/21/2001
Huggie,grey,Male,UK,2,1,5,7,7,1,651-3600415,04/16/2018
Vivaldi,black,Female,Spain,1,2,7,7,6,5,651-2522213,03/10/2000
Adissechen,peaches and cream,Male,Spain,4,1,5,7,5,2,651-2153140,10/14/2006
Ragamuffin,black,Male,Canada,1,4,7,6,1,2,651-4731412,06/26/2014
Grendel,tabby,Female,USA,1,3,7,3,2,1,651-8977011,05/26/2018
Napoleon,white,Male,Thailand,6,7,2,3,1,7,651-8471432,01/15/2013
Roscoe,black,Male,Germany,1,4,4,4,1,4,651-7585637,12/18/2012
Baldy,striped,Male,Canada,7,7,1,1,4,7,651-7176257,05/07/2008
Winnie,black,Female,France,7,1,1,4,1,1,651-8143767,10/27/2010
Garfunkel,grey,Male,China,1,7,7,1,1,1,651-1881156,10/08/2013
Friedmann,white,Female,Australia,2,1,6,6,1,7,651-3555128,09/12/2000
Migrane,orange,Female,Peru,1,6,1,4,1,1,651-3236204,09/29/2018
Jade,white,Female,Australia,2,3,6,6,2,4,651-8485424,02/21/2007
Coffee,black,Female,France,2,3,2,4,2,2,651-4510418,10/18/2019
Make My Day,brown,Female,UK,2,3,5,5,5,3,651-3751530,07/27/2017
Bollinger,butterscotch,Female,France,6,6,4,5,1,4,651-5812276,03/24/2020
Peppa,striped,Female,New Zealand,4,3,4,5,5,4,651-2863789,07/17/2017
Lavinia,grey,Male,Thailand,2,4,6,5,2,4,651-4919124,09/04/2016
Oberon,brown,Female,France,1,7,6,6,1,7,651-2158138,08/01/1999
Rapatap & Pupadup,striped,Female,UK,1,1,7,7,1,1,651-7832225,10/09/2012
Me-Too,peaches and cream,Male,Canada,1,2,2,6,1,7,651-8909998,11/06/2004
Boodles,grey,Female,Australia,3,6,3,2,1,1,651-2683648,04/13/2016
Mimi,striped,Male,New Zealand,2,5,6,2,2,1,651-9014960,06/09/2008
Bowser,butterscotch,Male,Peru,1,1,3,6,1,5,651-1541720,01/21/2006
Justin,grey,Female,Canada,2,2,5,7,4,7,651-7802884,06/15/2015
Kitkat,grey,Male,Canada,1,1,7,7,6,7,651-4507629,11/07/2000
Crankie Frankie,peaches and cream,Male,Australia,1,2,6,6,3,3,651-4487637,06/21/2004
Luther,salt and pepper,Female,Germany,3,7,5,5,2,2,651-5636007,02/09/2014
Bruce,orange,Male,Australia,1,7,7,1,1,4,651-3222549,07/06/2010
Kitkat,grey,Female,Canada,1,1,7,7,1,6,651-7309831,05/29/2017
Daffodil,black,Female,Australia,6,5,3,6,2,7,651-2959932,02/19/2018
Sinbad,salt and pepper,Female,Peru,1,2,7,6,2,2,651-7350009,08/04/2013
Pud,grey,Male,France,2,3,7,7,2,5,651-7394134,09/26/2002
Andrew,brown,Female,Thailand,2,2,6,7,1,4,651-4895644,12/20/2010
Charles,striped,Male,UK,1,6,4,3,4,1,651-6702819,03/01/2006
Heineken,brown,Male,USA,1,1,2,7,2,4,651-4987034,04/27/2017
Ali McClaw,white,Female,Canada,1,5,6,5,4,1,651-2101871,11/01/2012
Peppa,brown,Male,USA,1,1,7,7,6,1,651-7807752,02/13/2015
Arlo,grey,Male,Peru,4,2,5,6,2,5,651-3353629,06/29/2005
Maestro,grey and brown,Male,France,5,2,4,2,2,1,651-5994025,03/07/2004
Bo,grey and black,Male,China,2,1,6,7,2,6,651-4850288,11/30/2012
Bronte,orange,Male,China,4,1,6,5,1,4,651-5786804,09/04/2008
Jessica,grey and brown,Male,USA,2,1,3,7,1,2,651-5390993,04/21/2007
Challis,striped,Male,UK,1,5,6,6,2,2,651-6357233,08/28/2017
Scarlett O'Hairy,peaches and cream,Female,New Zealand,1,2,4,6,2,4,651-7347163,10/09/2017
Toad,tabby,Male,Germany,2,2,6,6,1,4,651-7448680,11/12/2017
Cat-man-do,brown,Male,Spain,3,2,6,6,2,2,651-8054280,09/12/2011
Libearty,peaches and cream,Female,Thailand,5,2,4,6,1,6,651-7289023,10/24/2014
Boyd,grey and brown,Female,France,5,4,6,5,1,6,651-6394882,01/29/2019
Poe,peaches and cream,Female,UK,1,1,4,7,1,1,651-6212963,03/26/2016
Shreds,striped,Female,Australia,3,5,5,6,1,1,651-5411967,05/21/2019
Fenella,butterscotch,Male,China,3,6,7,6,1,1,651-1985498,02/12/2014
Treble,white,Male,Peru,6,2,6,5,2,7,651-4723040,07/16/2017
Juliet,butterscotch,Male,France,2,3,5,5,1,3,651-1617314,09/19/2001
Chocky,salt and pepper,Male,USA,1,7,5,1,1,1,651-4876999,09/27/2018
Percy,striped,Male,UK,6,5,3,5,2,2,651-4921886,05/16/2018
Moe Mojo,butterscotch,Female,Thailand,1,1,7,7,4,1,651-3263267,05/10/2014
Brenda,butterscotch,Male,UK,4,4,3,5,4,4,651-3865037,07/06/2013
Joey,brown,Male,Australia,6,6,4,5,1,4,651-9002442,07/28/2014
FiFi,brown,Female,Thailand,3,1,6,5,1,4,651-8514132,12/23/2015
Clicquot,butterscotch,Female,New Zealand,2,1,7,6,1,4,651-5845276,04/11/2009
Monkeyjoe,black,Female,France,3,4,6,7,2,4,651-5687887,09/13/2002
Tabbytha,brown,Female,Australia,2,3,5,6,4,6,651-7191084,09/02/2019
Compound,brown,Male,Germany,5,5,5,4,1,1,651-3254894,09/27/2009
Croissant,peaches and cream,Male,New Zealand,4,5,3,5,3,5,651-4048476,04/12/2012
Lauren,striped,Male,Canada,3,2,5,6,2,5,651-6015207,03/28/2016
Bray,brown,Male,UK,1,1,3,6,1,2,651-1657899,07/03/2014
Strider,orange,Female,USA,1,1,7,7,2,1,651-7848132,11/04/2011
Dolly,peaches and cream,Male,Thailand,1,1,4,6,1,5,651-3945370,03/24/2011
Booboo,peaches and cream,Male,UK,2,1,6,6,2,6,651-7458451,05/07/2009
Boogie,brown,Male,Peru,2,2,6,6,3,6,651-8318275,02/26/2020
Mosag,white,Female,UK,4,4,6,5,4,4,651-4480662,10/01/2007
Kerry,striped,Female,USA,2,1,4,7,1,2,651-4714147,06/10/2017
Anika,peaches and cream,Male,Spain,2,1,7,6,5,4,651-4196499,01/31/2010
Sponge,white,Female,Thailand,7,4,4,4,5,4,651-6467059,09/25/2016
Alvin,black,Female,Canada,2,5,6,6,2,1,651-8319360,02/19/2011
Acorn,salt and pepper,Male,Germany,1,1,3,7,1,7,651-8186443,03/31/2017
Eileen,peaches and cream,Female,Spain,2,1,7,6,5,3,651-4788282,09/11/2006
Dandelion,grey and black,Female,Germany,5,2,7,5,1,4,651-4496494,03/13/2017
Purrfect,white,Male,Peru,2,1,5,7,1,5,651-4332217,09/15/2017
Mallory,peaches and cream,"",USA,5,1,7,7,1,6,651-2387115,10/18/2011
Otis,black,Male,UK,1,1,4,1,2,3,651-8656898,01/31/2018
Joel,butterscotch,Female,Peru,6,2,7,6,1,2,651-1665749,01/27/2010
Shirley,black,Male,China,4,2,4,5,2,4,651-6737674,05/31/2008
Waylon,tabby,Female,France,4,5,5,5,3,3,651-2825396,06/03/2014
Chrissy,tabby,Female,Canada,5,4,6,5,5,7,651-2018830,03/29/2010
Milkshake,brown,Male,Spain,1,4,5,5,1,2,651-1800732,07/16/2006
Gertrude,black,Female,Canada,4,3,2,3,1,3,651-3777946,10/04/2017
Boogie,grey and brown,Female,Peru,1,1,7,7,1,5,651-7664409,06/23/2016
Nutkin,black,Female,Peru,4,4,5,4,1,1,651-8132929,01/03/2004
Aristarchus,grey,Male,USA,5,7,3,3,1,2,651-2236178,06/13/2010
Pet-a-porter,striped,Male,China,1,7,6,4,1,3,651-4842478,07/20/2011
Macbeth,tabby,Male,Germany,3,4,6,7,1,3,651-2637214,01/05/2014
Collyer,peaches and cream,Male,Germany,2,2,4,3,2,4,651-4354580,06/13/2016
Mintie,peaches and cream,Female,France,5,5,6,5,6,6,651-6154631,12/01/1999
Van Gogh,tabby,Male,Peru,1,1,6,7,2,4,651-2875961,02/21/2001
Reynard,striped,Male,China,1,1,6,7,2,1,651-8797910,12/05/2012
Xerxes,grey and brown,Male,USA,5,2,2,4,1,1,651-6863764,02/23/2020
Roxanne,grey and black,Female,Germany,2,1,2,7,7,1,651-8879838,03/08/2011
CC,white,Male,Canada,1,7,3,1,1,7,651-6726587,07/05/2007
Toejam,tabby,Male,China,2,3,5,5,2,3,651-5849637,10/19/2013
Roxy,salt and pepper,Male,Peru,2,1,7,7,2,1,651-4466336,03/12/2002
Kona,peaches and cream,Female,Germany,1,1,7,7,1,3,651-5689305,09/24/2007
Basilisk,tabby,Male,Australia,2,6,7,4,6,7,651-7244542,04/09/2003
Barbra,brown,Male,Germany,5,4,5,7,4,7,651-5264422,08/22/2007
Tristan,tabby,Male,Australia,1,6,7,7,5,4,651-5184165,01/31/2017
Cat Sajak,white,Female,Spain,1,4,4,4,1,1,651-6929534,07/11/2018
Meringue,grey and black,Male,Australia,2,1,5,7,2,4,651-3610805,08/31/2016
Eden,white,Female,New Zealand,1,1,7,7,1,1,651-1786640,08/23/2018
Egbert,white,Male,UK,1,4,3,4,7,7,651-4327537,05/08/2005
Snickers,tabby,Female,Australia,2,2,6,7,2,1,651-4082159,01/03/2018
Silas,black,Female,USA,2,1,6,4,1,3,651-7419056,11/25/2003
Hiho,striped,Female,Australia,1,1,7,7,1,2,651-5197746,01/10/2017
Ayn,orange,Male,Spain,1,2,6,6,1,2,651-6340790,03/08/2011
Pumpkin,butterscotch,Male,Australia,3,6,6,7,3,2,651-5729311,05/24/2006
Monday,white,Male,UK,1,7,7,3,1,2,651-5412684,09/16/2001
Wuffy,peaches and cream,Male,USA,1,2,6,6,2,1,651-5473664,07/14/2005
Kringle,grey and black,Male,Spain,4,2,7,7,5,3,651-8033456,05/04/2015
Gremlin,tabby,Female,Canada,2,7,5,1,1,1,651-4602684,07/04/2018
Ishtar,tabby,Female,Germany,6,1,3,5,2,2,651-4849246,12/15/2017
Quackers,butterscotch,Male,Germany,5,3,5,6,3,5,651-8605350,05/18/2006
Toya,brown,Male,Australia,1,1,5,5,1,5,651-7104716,06/15/2013
Jaspurr,grey and black,Male,China,5,2,6,1,1,6,651-5587861,09/20/2004
Dwezil,salt and pepper,Female,UK,7,3,6,4,2,6,651-6202303,09/22/2015
Friedmann,grey,Male,France,1,2,7,6,1,3,651-8517203,02/04/2013
Clarence,peaches and cream,Female,Canada,5,2,6,6,5,7,651-5510330,10/03/2016
Grace,grey and black,Male,New Zealand,1,1,7,6,1,6,651-7233019,10/31/2005
Blizzard,brown,Female,China,4,3,6,5,2,4,651-1659223,12/12/2011
Ziggy,black,Female,UK,4,4,5,5,3,4,651-6916471,07/02/2007
Buttercup,salt and pepper,Male,Germany,3,4,3,4,2,3,651-6302130,03/18/2010
Licorice,grey and brown,Female,UK,3,1,7,7,1,2,651-7708774,02/03/2014
Ayesha,brown,Male,Australia,4,3,6,5,3,4,651-5448802,05/26/2017
Micestro,striped,Female,Germany,3,4,2,5,3,5,651-2203594,07/05/2015
Bluey,black,Female,France,1,6,2,1,1,1,651-3334726,05/26/2000
Octavia,salt and pepper,Male,UK,1,1,5,6,1,1,651-2282886,03/19/2011
Durand,orange,Female,UK,1,1,4,6,5,1,651-3634000,07/07/2016
Pocus,grey and black,Male,Germany,2,5,3,5,2,4,651-7640568,09/27/2002
Uranus,tabby,Male,Thailand,3,5,5,3,2,6,651-3500865,06/22/2014
Speed Bump,tabby,Male,UK,2,4,6,4,2,2,651-1936241,06/18/2014
Catalie Portman,butterscotch,Female,Australia,2,3,5,4,3,3,651-5238219,01/02/2001
Catastrophe,striped,Male,Peru,1,5,5,7,1,7,651-6113195,05/13/2013
Challis,orange,Male,USA,1,2,1,6,4,2,651-5271645,04/24/2016
Booth,striped,Male,Spain,1,5,6,4,2,1,651-2270604,06/01/2018
Tapioca,peaches and cream,Male,Peru,2,3,6,5,2,2,651-4369406,06/28/2003
Achlys,orange,Female,UK,4,4,6,4,2,2,651-1608485,11/19/2003
Pooh Bear,tabby,Female,Thailand,1,3,5,4,1,1,651-3915783,02/03/2008
Wuffy,orange,Male,USA,3,4,5,5,4,4,651-6816373,04/15/2009
Tuppence,grey and black,Male,Germany,3,1,5,6,1,6,651-8459653,12/13/2013
Miss Moneypenny,tabby,Male,New Zealand,1,3,5,5,2,6,651-3786344,04/25/2017
Mandy,peaches and cream,Female,Canada,7,7,7,7,1,1,651-5765942,09/17/2003
Leprechaun,salt and pepper,Male,UK,1,6,4,2,1,2,651-2369269,10/24/2017
Pistol,grey and brown,Male,Spain,3,1,5,7,6,7,651-8212135,09/01/2004
Needles,peaches and cream,Female,France,7,2,7,3,1,7,651-8537625,06/07/2016
Noodles,black,Female,Peru,1,6,5,7,4,1,651-4789197,08/25/2015
Winnie,peaches and cream,Male,UK,2,3,5,5,1,5,651-5700207,01/31/2018
Bayard,peaches and cream,Female,France,1,2,7,7,1,3,651-7290108,10/14/2014
Bugger,salt and pepper,Female,Canada,5,4,5,4,2,7,651-1731521,01/01/2005
Dylan,white,Female,China,6,5,3,5,4,6,651-8470331,11/28/2009
Amaro,white,Female,USA,1,1,7,6,1,6,651-3125237,07/21/2013
